,Product ID,Category,Sub-Category,Product Name
38,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
39,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
40,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
41,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
42,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
43,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
44,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
45,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
46,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
47,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
48,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
49,OFF-LA-10002762,Office Supplies,Labels,Avery 485
50,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
51,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
52,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
53,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
54,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
55,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
56,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
57,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
58,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
59,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
60,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
61,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
62,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
63,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
64,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
65,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
66,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
67,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
68,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
69,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
70,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
71,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
72,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
73,OFF-BI-10004182,Office Supplies,Binders,Economy Binders
74,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
75,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
76,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
77,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
78,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD Binder With Locking Rings
79,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
80,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
81,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
82,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
83,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
84,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
85,OFF-LA-10000134,Office Supplies,Labels,Avery 511
86,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
87,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
88,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
89,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
90,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
91,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
92,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
93,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
94,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
95,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
96,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
97,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
98,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
99,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
100,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
101,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
102,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
103,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
104,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
105,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
106,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard
107,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
108,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
109,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
110,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
111,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
112,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
113,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek Top-Opening Peel & Seel Envelopes, Plain White"
114,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
115,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
116,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
117,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
118,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
119,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
120,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
121,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
122,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
123,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
124,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
125,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
126,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
127,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
128,OFF-FA-10002780,Office Supplies,Fasteners,Staples
129,OFF-PA-10001804,Office Supplies,Paper,Xerox 195
130,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
131,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
132,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
133,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
134,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
135,OFF-AR-10000940,Office Supplies,Art,Newell 343
136,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
137,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
138,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
139,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
140,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
141,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
142,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
143,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
144,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
145,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
146,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
147,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
148,OFF-AR-10001547,Office Supplies,Art,Newell 311
149,OFF-LA-10002475,Office Supplies,Labels,Avery 519
150,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
151,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
152,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
153,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope
154,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
155,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
156,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
157,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
158,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
159,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
160,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
161,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
162,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
163,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
164,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
165,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
166,OFF-LA-10003148,Office Supplies,Labels,Avery 51
167,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
168,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
169,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
170,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
171,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
172,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
173,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
174,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
175,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
176,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
177,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
178,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
179,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
180,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
181,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
182,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
183,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
184,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
185,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
186,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
187,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
188,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
189,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
190,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
191,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire Commercial Upright
192,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
193,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
194,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
195,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
196,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
197,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
198,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
199,OFF-LA-10004544,Office Supplies,Labels,Avery 505
200,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
201,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
202,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
203,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
204,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
205,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
206,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
207,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
208,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
209,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
210,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
211,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest
212,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
213,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
214,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
215,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
216,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
217,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
218,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
219,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
220,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
221,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
222,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings
223,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector
224,FUR-TA-10002607,Furniture,Tables,KI Conference Tables
225,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
226,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart
227,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
228,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
229,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
230,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
231,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
232,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
233,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black"
234,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone
235,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
236,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving
237,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch
238,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
239,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer
240,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone
241,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse
242,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
243,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands
244,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving
245,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
246,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart
247,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
248,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
249,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders
250,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
251,OFF-AR-10001427,Office Supplies,Art,Newell 330
252,OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad"
253,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
254,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office
255,OFF-LA-10002043,Office Supplies,Labels,Avery 489
256,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders
257,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker
258,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
259,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper
260,TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse
261,OFF-PA-10004100,Office Supplies,Paper,Xerox 216
262,OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine
263,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener
264,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips
265,OFF-LA-10004689,Office Supplies,Labels,Avery 512
266,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930
267,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
268,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
269,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs
270,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
271,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
272,OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
273,OFF-PA-10002105,Office Supplies,Paper,Xerox 223
274,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
275,OFF-PA-10004243,Office Supplies,Paper,Xerox 1939
276,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
277,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings
278,FUR-TA-10002533,Furniture,Tables,BPI Conference Tables
279,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
280,OFF-AR-10003651,Office Supplies,Art,Newell 350
281,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
282,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
283,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils
284,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
285,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
286,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
287,OFF-LA-10000634,Office Supplies,Labels,Avery 509
288,FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
289,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone
290,OFF-PA-10001937,Office Supplies,Paper,Xerox 21
291,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670"
292,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair
293,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
294,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router
295,OFF-FA-10000624,Office Supplies,Fasteners,OIC Binder Clips
296,TEC-AC-10001908,Technology,Accessories,Logitech Wireless Headset h800
297,FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp
298,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone
299,OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black"
300,FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
301,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels
